id;the_geom;LAYER;SHAPENAME;BASE
1979-all-3d.21;MULTIPOLYGON (((-4.865019771362539 -111.93053971357197, -6.254091674928105 -111.78655747764572, -6.223161324411112 -111.48815621491013, -4.8340894213656 -111.6321384513538, -4.865019771362539 -111.93053971357197)));2016-chinese-temple;0;
1979-all-3d.22;MULTIPOLYGON (((5.121854173394733 -134.1505359903022, 15.56589835847668 -135.23309825495076, 15.524681288863782 -135.6309690302867, 5.0806137060689185 -134.5484043403612, 5.121854173394733 -134.1505359903022)));2016-chinese-temple;0;
1979-all-3d.23;MULTIPOLYGON (((18.336267562290516 13.998645910386582, 18.187044933874805 13.212686236997955, 14.060584618854833 13.99613769804365, 14.209807246119883 14.782097368825973, 18.336267562290516 13.998645910386582)));2016-catholic-church;0;
1979-all-3d.24;MULTIPOLYGON (((23.095344979435033 14.67175380890377, 29.816967767442357 19.24830131668156, 23.095344979435033 14.67175380890377, 23.095344979435033 14.67175380890377)));2016-catholic-church;0;
1979-all-3d.25;MULTIPOLYGON (((22.73161482267966 12.755977105883183, 23.095344979435033 14.67175380890377, 23.095344979435033 14.67175380890377, 22.73161482267966 12.755977105883183, 22.73161482267966 12.755977105883183)));2016-catholic-church;0;
1979-all-3d.26;MULTIPOLYGON (((22.73161482267966 12.755977105883183, 28.38069997168785 11.683439466395768, 22.73161482267966 12.755977105883183, 22.73161482267966 12.755977105883183)));2016-catholic-church;0;
1979-all-3d.27;MULTIPOLYGON (((22.73161482267966 12.755977105883183, 17.082529675469818 13.828514745967627, 22.73161482267966 12.755977105883183, 22.73161482267966 12.755977105883183)));2016-catholic-church;0;
1979-all-3d.28;MULTIPOLYGON (((23.095344979435033 14.67175380890377, 18.51879747216279 21.393376597346933, 23.095344979435033 14.67175380890377, 23.095344979435033 14.67175380890377)));2016-catholic-church;0;
1979-all-3d.29;MULTIPOLYGON (((28.28362451572783 17.60548103487332, 27.694154761660972 17.71739800636465, 27.843377389715553 18.503357679961784, 28.432847143990795 18.391440708350135, 28.28362451572783 17.60548103487332)));2016-catholic-church;0;
1979-all-3d.30;MULTIPOLYGON (((-24.305282888460418 -131.20084450924028, -22.122432714446887 -110.1417475827178, -21.824031451748187 -110.17267793387498, -24.00688162597871 -131.23177486108986, -24.305282888460418 -131.20084450924028)));2016-chinese-temple;0;
1979-all-3d.31;MULTIPOLYGON (((18.555766075615573 -104.84223135965833, 8.328321629089288 -103.62182975884643, 12.867771224434101 -65.57946027053202, 23.095215672338846 -66.79986186968677, 18.555766075615573 -104.84223135965833)));2016-chinese-temple;0;
1979-all-3d.32;MULTIPOLYGON (((9.025122475092681 -113.37030227841592, -28.018633813801404 -109.53058540311089, -27.987703463186346 -109.23218414043194, 9.050945210300293 -113.07137159402384, 9.025122475092681 -113.37030227841592)));2016-chinese-temple;0;
